CODIGO|NOME
1|FORNECEDORES
2|PADARIAS E CONFEITARIAS
3|SUPERMERCADOS
4|TRANSPORTES
5|INDUSTRIA
6|CONCESSIONARIA DE VEICULOS
7|USINAS/DESTILARIAS
8|REVENDA
9|PRODUTOR
10|AVIACAO
11|POSTO DE COMBUSTIVEL
12|ESCOLAS
13|RECAUCHUTAGEM
14|CLUBES
15|ORGAO PUBLICO
16|MONTADOR
17|CONSTRUCAO CIVIL
18|BANCO
19|BAR/RESTAURANTE
20|CONDOMINIO
21|COOPERATIVA
22|TERRAPLANAGEM
23|MINERACAO
24|CONSUMIDOR
25|HOSPITAL
26|HOTEIS
27|FUNCIONARIOS
28|AUTO PECAS
29|ATACADISTA
30|USINAGEM
31|INDUSTRIA DE PRE-MOLDADOS CONC
32|RETIFICA
33|AUTOMACAO
34|LOCACAO DE EQUIP E MAQUINAS
35|FUNDICAO
40|GRAFICA
321|COMERCIO
3333|CONCRETEIRA
3334|OFICINA
3335|PAVIMENTACAO
3336|FACULDADE DE PESQUISAS
