CODIGO|NOME   |NANOTA
1101|COMPRA P/IND OU PROD RURAL |COMPRA
1102|COMPRA P/COMERCIALIZACAO   |COMPRA
1111|COMPRA P/IND DE MER REC CONSIG |COMPRA
1113|COMPRA COMERC MERC RECE CONSIG |COMPRA
1118|COMPRA MERCADORIA  ORDEM|COMPRA
1120|COMPRA P/INDUSTRIAL  ORDEM|COMPRA
1121|COMPRA P/COMERC  ORDEM|COMPRA
1122|COMPRA SEM TRANSITAR P/ESTABEL |COMPRA
1124|INDUSTRIALIZACAO POR OUTRA EMP |INDUSTRIALIZACAO
1125|INDUSTR P/OUTRA EMP SEM TRANSI |INDUSTRIALIZACAO
1126|COMPRA P/RECEB FUTURO  |COMPRA
1201|DEVOLUCAO DE VENDA DE PRODUCAO |DEVOLUCAO
1202|DEVOLUCAO DE VENDA DE MERCADO  |DEVOLUCAO
1411|DEVOLUCAO SUB TRIBUTARIA   |DEVOLUCAO
2101|COMPRA P/IND OU PROD RURAL |COMPRA
2102|COMPRA P/COMERCIALIZACAO   |COMPRA
2111|COMPRA IN MERC RECEB CONSIGNAC |COMPRA
2113|COMPRA COMER MERC RECE CONSIGN |COMPRA
2116|COMPRA P/RECEB FUTURA |COMPRA
2118|COMPRA MERCADORIA  ORDEM  |COMPRA
2120|COMPRA P/INDUSTRIAL  ORDEM|COMPRA
2121|COMPRA P/COMER VENDA  ORDEM   |COMPRA
2122|COMPRA SEM TRANSITAR ESTABELEC |COMPRA
2125|IND P/OUT EMP SEM TRANSITAR|INDUSTRIALIZACAO
2126|COMPRA P/PRESTACAO SERVICO |COMPRA
2201|DEVOLUCAO DE VENDA DE PRODUCAO |DEVOLUCAO
2202|DEVOLUCAO DE VENDA  MERCADORIA |DEVOLUCAO
2411|DEVOLUCAO SUB TRIBUTARIA   |DEVOLUCAO
3101|COMPRA P/IND OU PROD RURAL |COMPRA
3102|COMPRA P/COMERCIALIZACAO   |COMPRA
3126|COMPRA P/PRESTACAO SERVICO |COMPRA
5101|VENDA PRODUCAO DO ESTABELECIM  |VENDAS
5102|VENDA MERCADOR DE TERCEIRO |VENDAS
5103|VENDA PRODUCAO FORA ESTABELEC  |VENDAS
5104|VENDA MERCADORIA FORA ESTABEL  |VENDAS
5105|VENDA PROD NAO DEVA TRANSITAR  |VENDAS
5106|VENDA MERCAD NAO DEVA TRANSITA |VENDAS
5110|VENDA PROD EM CONSIGNACAO  |VENDAS
5111|VENDA PROD EM CONSIGNACAO  |VENDAS
5112|VENDA MERCAD EM CONSIGNACAO|VENDAS
5113|VENDA PROD CONSIGN MERCANTIL   |VENDAS
5114|VENDA MERCAD CONSIG MERCANTIL  |VENDAS
5115|VENDA MERC EM CONSIGNACAO  |VENDAS
5116|VENDA PRODUCAO DE ENCOMENDA|VENDAS
5117|VENDA MERCADORIA DE ENCOMENDA  |VENDAS
5118|VENDA PRODUCAO CONTRA ORDEM|VENDAS
5119|VENDA A ORDEM|VENDAS
5120|VENDA MERC ENTREG PELO REMETEN |VENDAS
5122|VENDA PRODUCAO INDUSTR |VENDAS
