ID    | NOME               |QTD DIAS|PARCE| VISTA| PRINCIPAL| VENC1|VENC2|VENC3|VENC4
1     | A VISTA            |   0    |  0  |   S  |     S    |    0 |   0 |   0 |   0
10    | 30 DDL             |   0    |  1  |   N  |     N    |   30 |   0 |   0 |   0
100   | 27/42 DDL          |   0    |  2  |   N  |     N    |   27 |  42 |   0 |   0
101   | 29/44/59 DDL       |   0    |  3  |   N  |     N    |   29 |  44 |  59 |   0
102   | 27/34DDL           |   0    |  2  |   N  |     N    |   27 |  34 |   0 |   0
103   | 33/48DDL           |   0    |  2  |   N  |     N    |   33 |  48 |   0 |   0
104   | 29/60 DDL          |   0    |  2  |   N  |     N    |   29 |  60 |   0 |   0
105   | 18/49/DDL          |   0    |  2  |   N  |     N    |   18 |  49 |   0 |   0
106   | 30/60/90 DDL       |   0    |  3  |   N  |     N    |   30 |  60 |  90 |   0
107   | 29/59/89/DDL       |   0    |  3  |   N  |     N    |   29 |  59 |  89 |   0
108   | 29/37DDL           |   0    |  2  |   N  |     N    |   29 |  37 |   0 |   0
109   | 24/48 DDL          |   0    |  2  |   N  |     N    |   24 |  48 |   0 |   0
11    | 35 DDL             |   0    |  1  |   N  |     N    |   35 |   0 |   0 |   0
110   | 25/40 DDL          |   0    |  2  |   N  |     N    |   25 |  40 |   0 |   0
111   | 31/49/61/80 DDL    |   0    |  4  |   N  |     N    |   31 |  49 |  61 |  80
112   | 26/42 DDL          |   0    |  2  |   N  |     N    |   26 |  42 |   0 |   0
113   | 15 DDL             |   0    |  1  |   N  |     N    |   15 |   0 |   0 |   0
114   | 60/90 DDL          |   0    |  2  |   N  |     N    |   60 |  90 |   0 |   0
115   | 32/60 DDL          |   0    |  2  |   N  |     N    |   32 |  60 |   0 |   0
116   | 30/45/60/75 DDL    |   0    |  4  |   N  |     N    |   30 |  45 |  60 |  75
117   | 63 DDL             |   0    |  1  |   N  |     N    |   63 |   0 |   0 |   0
118   | 36/60 DDL          |   0    |  2  |   N  |     N    |   36 |  60 |   0 |   0
119   | 7 DDL              |   0    |  1  |   N  |     N    |    7 |   0 |   0 |   0
12    | 21 DDL             |   0    |  1  |   N  |     N    |   21 |   0 |   0 |   0
120   | 29/44 DDL          |   0    |  2  |   N  |     N    |   29 |  44 |   0 |   0
121   | 20/40 DDL          |   0    |  2  |   N  |     N    |   20 |  40 |   0 |   0
