PRODUTO           |KIT ID             |QTDE            |COD INTERNO
1/4X3100          |0518CT 1/4X1/4     |          1,0000|        10578
1/4X3100          |1B-4               |          3,1000|        11906
1/4X3100          |CASQUINHA 13       |          2,0000|        15279
1/4X3100          |HG560-4-4          |          1,0000|        18846
23080             |100R1AT-4          |          0,2800|        11089
23080             |112-4-4            |          2,0000|        11440
23081             |100R1AT-4          |          0,2500|        11089
23081             |112-4-4            |          2,0000|        11440
3/8X20MTS         |100R1AT-6          |         20,0000|        11092
3/8X20MTS         |CRISTAL-16         |         20,0000|        15998
3/8X20MTS         |KARCHER-6          |          2,0000|        20098
3D 12X220         |100R2AT-12         |          0,2200|        11100
3D 12X220         |101-12-12          |          2,0000|        11140
3D 12X230         |100R2AT-12         |          0,2300|        11100
3D 12X230         |101-12-12          |          2,0000|        11140
3D 12X340         |100-12-12          |          1,0000|        11026
3D 12X340         |100R2AT-12         |          0,3400|        11100
3D 12X340         |101-12-12          |          1,0000|        11140
3D 12X340         |2021-12-12         |          1,0000|        11962
3D 12X360         |100-12-12          |          1,0000|        11026
3D 12X360         |100R2AT-12         |          0,3600|        11100
3D 12X360         |101-12-12          |          1,0000|        11140
3D 12X360         |2021-12-12         |          1,0000|        11962
3D 12X380         |100R2AT-12         |          0,3800|        11100
3D 12X380         |101-12-12          |          2,0000|        11140
3D 12X460         |100-12-12          |          1,0000|        11026
3D 12X460         |100R2AT-12         |          0,4600|        11100
3D 12X460         |101-12-12          |          1,0000|        11140
3D 12X460         |2021-12-12         |          1,0000|        11962
3D 12X480         |100-12-12          |          1,0000|        11026
3D 12X480         |100R2AT-12         |          0,4800|        11100
3D 12X480         |101-12-12          |          1,0000|        11140
3D 12X480         |2021-12-12         |          1,0000|        11962
3D 12X490         |100-12-12          |          1,0000|        11026
3D 12X490         |100R2AT-12         |          0,4900|        11100
3D 12X490         |101-12-12          |          1,0000|        11140
3D 12X490         |2021-12-12         |          1,0000|        11962
3D 12X520         |100R2AT-12         |          0,5200|        11100
3D 12X520         |101-12-12          |          2,0000|        11140
3D 12X580         |100-12-12          |          1,0000|        11026
3D 12X580         |100R2AT-12         |          0,5800|        11100
3D 12X580         |101-12-12          |          1,0000|        11140
3D 12X580         |2021-12-12         |          1,0000|        11962
3D 3/4X550        |100-12-12          |          1,0000|        11026
3D 3/4X550        |100R2AT-12         |          0,5500|        11100
3D 3/4X550        |101-12-12          |          1,0000|        11140
3D 3/4X550        |2021-12-12         |          1,0000|        11962
3M 1/2X3300       |100-8-8            |          2,0000|        11054
3M 1/2X3300       |100R1AT-8          |          3,3000|        11093
3M 1/4X12MTS      |100R2AT-4          |         12,0000|        11105
3M 1/4X12MTS      |KARCHER-4          |          2,0000|        20090
3M 16X1200        |100-16-16          |          2,0000|        11033
3M 16X1200        |100R2AT-16         |          1,2000|        11101
3M 4X1300         |2807-5             |          1,3000|        12316
3M 4X1300         |HG311-14-4 DKO     |          2,0000|       331916
3M 4X310          |100-4-4            |          1,0000|        11040
3M 4X310          |EQUATOR-4          |          0,3100|       339854
3M 4X310          |HG311-12-4 DKO     |          1,0000|       335686
3M 4X380          |100-4-4            |          1,0000|        11040
3M 4X380          |EQUATOR-4          |          0,3800|       339854
3M 4X380          |HG311-12-4 DKO     |          1,0000|       335686
3M 4X830          |100-4-4            |          1,0000|        11040
3M 4X830          |EQUATOR-4          |          0,8300|       339854
3M 4X830          |HG311-12-4 DKO     |          1,0000|       335686
3M 4X860          |100-4-4            |          1,0000|        11040
3M 4X860          |EQUATOR-4          |          0,8600|       339854
3M 4X860          |HG311-12-4 DKO     |          1,0000|       335686
3M 6X3800         |100R2AT-6          |          3,8000|        11107
3M 6X3800         |HG311-20-6 DKO     |          1,0000|       335687
3M 6X3800         |HG325-20-6 DKO     |          1,0000|       335705
3M 6X5400         |100R2AT-6          |          5,4000|        11107
3M 6X5400         |HG311-20-6 DKO     |          1,0000|       335687
3M 6X5400         |HG325-20-6 DKO     |          1,0000|       335705
3M 6X7200         |100R2AT-6          |          7,2000|        11107
3M 6X7200         |HG311-20-6 DKO     |          1,0000|       335687
3M 6X7200         |HG325-20-6 DKO     |          1,0000|       335705
3M-3/4X1100       |BORRACHA-3/4       |          1,1000|        14718
ABC 4X1550        |100R1AT-4          |          1,5500|        11089
ABC 4X1550        |HG207-14-4T1       |          1,0000|        18700
ABC 4X1550        |HG311-14-4 DKO     |          1,0000|       331916
ABC 4X300         |100-4-4            |          1,0000|        11040
ABC 4X300         |100R7-4 A          |          0,3000|       334835
ABC 4X300         |112-4-4            |          1,0000|        11440
ABC 4X3100        |100R1AT-4          |          3,1000|        11089
ABC 4X3100        |HG325-14-4 DKO     |          2,0000|       334306
ABC 4X3700        |100R1AT-4          |          3,7000|        11089
ABC 4X3700        |HG325-14-4 DKO     |          2,0000|       334306
ABC 4X450         |100-6-4            |          1,0000|        11046
ABC 4X450         |100R1AT-4          |          0,4500|        11089
ABC 4X450         |HG311-14-4 DKO     |          1,0000|       331916
ABC 8X3100        |100R2AT-8          |          3,1000|        11108
ABC 8X3100        |HG311-22-8 DKO     |          1,0000|       335701
ABC 8X3100        |HG325-22-8 DKO     |          1,0000|       336057
ABC 8X3800        |100R2AT-8          |          3,8000|        11108
ABC 8X3800        |HG325-22-8 DKO     |          2,0000|       336057
ABDALA 12X450     |100R2AT-12         |          0,4500|        11100
ABDALA 12X450     |ORS-12-12          |          2,0000|        22111
ABDALA 16X1220    |100R13-16          |          1,2200|        11075
ABDALA 16X1220    |105-16-16DI-62     |          1,0000|       334621
ABDALA 16X1220    |M47441-16-16       |          1,0000|       335726
ABDALA 16X1220    |MP-32              |          1,2200|        21337
ABDALA 6X1070     |100R2AT-6          |          1,0700|        11107
ABDALA 6X1070     |ORS-6-6            |          1,0000|        22120
ABDALA 6X1070     |ORS90-6-6          |          1,0000|        22142
ABDALA 8X2000     |101-8-8            |          2,0000|        11164
ABDALA 8X2000     |2807-10            |          2,0000|        12310
ACV 4X620         |100-4-4            |          1,0000|        11040
ACV 4X620         |100R1AT-4          |          0,6200|        11089
ACV 4X620         |HG311-14-4 DKO     |          1,0000|       331916
ACV 6X2100        |100R1AT-6          |          2,1000|        11092
ACV 6X2100        |ORS-6-6            |          1,0000|        22120
ACV 6X2100        |ORS90-6-6          |          1,0000|        22142
ACV 6X4800        |100R17-6           |          4,8000|       339826
ACV 6X4800        |103-6-6            |          1,0000|        11245
ACV 6X4800        |ORS-8-6            |          1,0000|        22123
ACV 6X5000        |103-8-6            |          1,0000|        11251
ACV 6X5000        |6M3K               |          5,0000|       332553
ACV 6X5000        |ORS-8-6            |          1,0000|        22123
ACV 6X5200        |100R7-6            |          5,2000|        11137
ACV 6X5200        |ORS-6-6 MF         |          1,0000|       334258
ACV 6X5200        |ORS-8-6            |          1,0000|        22123
ACV 6X5400        |100R17-6           |          5,4000|       339826
