BARRA           |NOME                                      |GRUPO  |UNIDADE     |ICMS       |ORIGEM    |COMPRA         |MARGEM     |VENDA          |EST MINIMO       |EST ATUAL        |KIT  |ATIVO  |COD INTERNO|NCM           |RED BASE   |OBS1                                                          |OBS2
0001CP 1/2      |LUVA LATAO 0001CP 1/2                     |      3|UN          |    18,0000|000       |           0,40|   100,0000|           0,80|           0,0000|          58,0000|N    |S      |    10003  |74122000      |     0,0000|                                                              |                                                              
0001CP 3/16     |LUVA LATAO 0001CP 3/16                    |      3|UN          |    18,0000|000       |           0,10|   100,0000|           0,20|           0,0000|         879,0000|N    |S      |    10005  |              |     0,0000|                                                              |                                                              
0001CP 3/8      |LUVA LATAO 0001CP 3/8                     |      3|UN          |    18,0000|000       |           0,18|   100,0000|           0,36|           0,0000|         113,0000|N    |S      |    10006  |              |     0,0000|                                                              |                                                              
0002CP 1/2      |FLANGE 0002CP 1/2                         |      3|UN          |    18,0000|000       |           1,48|   100,0000|           2,96|          50,0000|         277,0000|N    |S      |    10007  |74122000      |     0,0000|                                                              |                                                              
0002CP 1/4      |FLANGE 0002CP 1/4                         |      3|UN          |    18,0000|000       |           0,51|   100,0000|           1,02|          50,0000|        2101,0000|N    |S      |    10008  |74122000      |     0,0000|                                                              |                                                              
0002CP 1/8      |FLANGE 0002CP 1/8                         |      3|UN          |    18,0000|000       |           0,45|   100,0000|           0,90|          50,0000|         265,0000|N    |S      |    10009  |74122000      |     0,0000|                                                              |                                                              
0002CP 10MM     |FLANGE 0002CP 10MM                        |      3|UN          |    18,0000|000       |           1,46|   100,0000|           2,92|          50,0000|         141,0000|N    |S      |    10010  |74122000      |     0,0000|                                                              |                                                              
0002CP 12MM     |FLANGE 0002CP 12MM                        |      3|UN          |    18,0000|000       |           2,03|   100,0000|           4,06|          50,0000|         342,0000|N    |S      |    10012  |74122000      |     0,0000|                                                              |                                                              
0002CP 3/16     |FLANGE 0002CP 3/16                        |      3|UN          |    18,0000|000       |           0,50|   100,0000|           1,00|          50,0000|         986,0000|N    |S      |    10013  |74122000      |     0,0000|                                                              |                                                              
0002CP 3/8      |FLANGE 0002CP 3/8                         |      3|UN          |    18,0000|000       |           0,70|   100,0000|           1,40|          50,0000|        1500,0000|N    |S      |    10014  |74122000      |     0,0000|                                                              |                                                              
0002CP 5/16     |FLANGE 0002CP 5/16                        |      3|UN          |    18,0000|000       |           0,71|   100,0000|           1,42|          50,0000|         454,0000|N    |S      |    10015  |74122000      |     0,0000|                                                              |                                                              
0002CP 5/32     |FLANGE 0002CP 5/32                        |      3|UN          |    18,0000|000       |           0,40|   100,0000|           0,80|          50,0000|         452,0000|N    |S      |    10016  |74122000      |     0,0000|                                                              |                                                              
0002CP 5/8      |FLANGE 0002CP 5/8                         |      3|UN          |    18,0000|000       |           2,10|   100,0000|           4,20|          50,0000|          94,0000|N    |S      |    10017  |74122000      |     0,0000|                                                              |                                                              
0002CP 6MM      |FLANGE 0002CP 6MM                         |      3|UN          |    18,0000|000       |           0,77|   100,0000|           1,54|          50,0000|         715,0000|N    |S      |    10018  |74122000      |     0,0000|                                                              |                                                              
0002CP 8MM      |FLANGE 0002CP 8MM                         |      3|UN          |    18,0000|000       |           1,12|   100,0000|           2,24|          50,0000|         287,0000|N    |S      |    10020  |74122000      |     0,0000|                                                              |                                                              
0003CP 1/2X1/2  |CONECTOR MACHO 0003CP 1/2X1/2N            |      3|UN          |    18,0000|000       |           7,90|   100,0000|          15,80|          50,0000|         152,0000|N    |S      |    10022  |74122000      |     0,0000|                                                              |                                                              
0003CP 1/4X1/4  |CONECTOR MACHO 0003CP 1/4X1/4N            |      3|UN          |    18,0000|000       |           2,06|   100,0000|           4,12|           0,0000|        1630,0000|N    |S      |    10025  |74122000      |     0,0000|                                                              |                                                              
0003CP 1/4X1/8  |CONECTOR MACHO 0003CP 1/4X1/8N            |      3|UN          |    18,0000|000       |           1,44|   100,0000|           2,88|          50,0000|        1141,0000|N    |S      |    10026  |74122000      |     0,0000|                                                              |                                                              
0003CP 10X1/4   |CONECTOR MACHO 0003CP 10X1/4N             |      3|UN          |    18,0000|000       |           2,55|   100,0000|           5,10|          10,0000|         119,0000|N    |S      |    10030  |74122000      |     0,0000|                                                              |                                                              
